Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;23;;COMBINE;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1;Open M (23)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;16;;SLALOM;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-21 M (16)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;16;;FIGURES;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-21 M (16)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;16;;SAUT;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-21 M (16)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;16;;COMBINE;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-21 M (16)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;23;;SLALOM;GBR|2000|EMMETT CHARLIE;EMMETT Charlie;GBR;0;Open M (23)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;15;;SLALOM;FRA|2008|GEORGES MATTEO;GEORGES Matteo;FRA;1;-21 M (15)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;16;;SLALOM;FRA|2007|GERMAIN PIERRE LOUIS;GERMAIN Pierre Louis;FRA;1;-21 M (16)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;34;;SLALOM;FRA|1989|JAMIN ROLAND;JAMIN Roland;FRA;1;Open M (34)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;18;;SLALOM;FRA|2005|LAVAU CLARENS;LAVAU Clarens;FRA;1;-21 M (18)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;18;;FIGURES;FRA|2005|LAVAU CLARENS;LAVAU Clarens;FRA;1;-21 M (18)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;18;;SAUT;FRA|2005|LAVAU CLARENS;LAVAU Clarens;FRA;1;-21 M (18)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;18;;COMBINE;FRA|2005|LAVAU CLARENS;LAVAU Clarens;FRA;1;-21 M (18)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;SLALOM;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;FIGURES;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;SAUT;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;COMBINE;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;24;;SLALOM;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1;Open F (24)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;24;;FIGURES;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1;Open F (24)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;22;;SLALOM;FRA|2001|MOREL BENJAMIN;MOREL Benjamin;FRA;1;Open M (22)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;19;;SAUT;FRA|2004|MORIN ANTOINE;MORIN Antoine;FRA;1;-21 M (19)
