Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;Sex;Event;ClassifiedAll;ClassifiedFrench;ClassifiedForeign
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;F;COMBINE;2;2;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;F;FIGURES;4;4;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;F;SAUT;3;3;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;F;SLALOM;5;5;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;M;COMBINE;3;2;1
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;M;FIGURES;4;3;1
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;M;SAUT;3;2;1
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;JUNIOR;U17;M;SLALOM;6;5;1
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U8;M;FIGURES;1;1;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;35+;F;SLALOM;3;3;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;45+;F;SLALOM;1;1;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;45+;M;SLALOM;2;2;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;55+;M;FIGURES;1;1;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;55+;M;SLALOM;3;3;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;65+;M;SLALOM;3;3;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;75+;M;FIGURES;1;1;0
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;1;SENIOR;75+;M;SLALOM;1;1;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;COMBINE;3;3;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;FIGURES;5;5;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;SAUT;3;3;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;SLALOM;5;5;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;COMBINE;1;1;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;FIGURES;1;1;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SAUT;1;1;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SLALOM;5;4;1
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;F;FIGURES;1;1;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;COMBINE;4;4;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;FIGURES;5;5;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SAUT;4;4;0
2026;26FRA021;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SLALOM;7;7;0
